REF_DATE,GEO,DGUID,Age group,Sex,Indicators,Characteristics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2015,Canada (excluding territories),,12 to 17 years,Males,"Perceived health, very good or excellent",Number of persons,Number,223,units,0,v110788271,1.2.2.1.1,812000,,,,0
2016,Canada (excluding territories),,12 to 17 years,Males,"Perceived health, very good or excellent",Number of persons,Number,223,units,0,v110788271,1.2.2.1.1,841800,,,,0
2017,Canada (excluding territories),,12 to 17 years,Males,"Perceived health, very good or excellent",Number of persons,Number,223,units,0,v110788271,1.2.2.1.1,866700,,,,0
2018,Canada (excluding territories),,12 to 17 years,Males,"Perceived health, very good or excellent",Number of persons,Number,223,units,0,v110788271,1.2.2.1.1,836400,,,,0
2019,Canada (excluding territories),,12 to 17 years,Males,"Perceived health, very good or excellent",Number of persons,Number,223,units,0,v110788271,1.2.2.1.1,901600,,,,0
2020,Canada (excluding territories),,12 to 17 years,Males,"Perceived health, very good or excellent",Number of persons,Number,223,units,0,v110788271,1.2.2.1.1,948100,,,,0
2015,Canada (excluding territories),,12 to 17 years,Males,"Perceived health, fair or poor",Number of persons,Number,223,units,0,v110788278,1.2.2.2.1,50600,E,,,0
2016,Canada (excluding territories),,12 to 17 years,Males,"Perceived health, fair or poor",Number of persons,Number,223,units,0,v110788278,1.2.2.2.1,46700,,,,0
2017,Canada (excluding territories),,12 to 17 years,Males,"Perceived health, fair or poor",Number of persons,Number,223,units,0,v110788278,1.2.2.2.1,49000,,,,0
2018,Canada (excluding territories),,12 to 17 years,Males,"Perceived health, fair or poor",Number of persons,Number,223,units,0,v110788278,1.2.2.2.1,34400,E,,,0
2019,Canada (excluding territories),,12 to 17 years,Males,"Perceived health, fair or poor",Number of persons,Number,223,units,0,v110788278,1.2.2.2.1,40300,E,,,0
2020,Canada (excluding territories),,12 to 17 years,Males,"Perceived health, fair or poor",Number of persons,Number,223,units,0,v110788278,1.2.2.2.1,29800,E,,,0
2015,Canada (excluding territories),,12 to 17 years,Males,"Perceived mental health, very good or excellent",Number of persons,Number,223,units,0,v110788285,1.2.2.3.1,868800,,,,0
2016,Canada (excluding territories),,12 to 17 years,Males,"Perceived mental health, very good or excellent",Number of persons,Number,223,units,0,v110788285,1.2.2.3.1,865300,,,,0
2017,Canada (excluding territories),,12 to 17 years,Males,"Perceived mental health, very good or excellent",Number of persons,Number,223,units,0,v110788285,1.2.2.3.1,860400,,,,0
2018,Canada (excluding territories),,12 to 17 years,Males,"Perceived mental health, very good or excellent",Number of persons,Number,223,units,0,v110788285,1.2.2.3.1,866100,,,,0
2019,Canada (excluding territories),,12 to 17 years,Males,"Perceived mental health, very good or excellent",Number of persons,Number,223,units,0,v110788285,1.2.2.3.1,887300,,,,0
2020,Canada (excluding territories),,12 to 17 years,Males,"Perceived mental health, very good or excellent",Number of persons,Number,223,units,0,v110788285,1.2.2.3.1,876100,,,,0
2015,Canada (excluding territories),,12 to 17 years,Males,"Perceived mental health, fair or poor",Number of persons,Number,223,units,0,v110788292,1.2.2.4.1,30500,E,,,0
2016,Canada (excluding territories),,12 to 17 years,Males,"Perceived mental health, fair or poor",Number of persons,Number,223,units,0,v110788292,1.2.2.4.1,31700,E,,,0
2017,Canada (excluding territories),,12 to 17 years,Males,"Perceived mental health, fair or poor",Number of persons,Number,223,units,0,v110788292,1.2.2.4.1,41900,E,,,0
