Id,When,Cal,Alberta,Canada,BritishColumbia,Manitoba,NewBrunswick,NewfoundlandAndLabrador,NovaScotia,Ontario,PrinceEdwardIsland,Quebec,Saskatchewan,ModifiedDate
215460,1/1/1985 12:00:00 AM,"Slaughter, calves",81.15,,83.78,92.35,67.87,68.58,68.58,82.1,72.5,88.53,79.99,9/8/2021 10:08:45 AM
215461,1/1/1985 12:00:00 AM,"Slaughter, cattle",69.88,,65.61,74.5,57.02,68.74,68.74,82.7,65.12,48.9,70.61,9/8/2021 10:08:45 AM
215462,1/1/1985 12:00:00 AM,Hogs,69.53,,73.98,67.74,73.31,,72.98,73.99,73.33,72.18,70.13,9/8/2021 10:08:45 AM
215463,2/1/1985 12:00:00 AM,"Slaughter, calves",82.94,,89.12,91.19,68.16,63.81,63.81,85.4,75.93,96.16,82.35,9/8/2021 10:08:45 AM
215464,2/1/1985 12:00:00 AM,"Slaughter, cattle",71.24,,66.75,72.72,62.88,69.58,69.58,82.2,66.26,51.08,70.28,9/8/2021 10:08:45 AM
215465,2/1/1985 12:00:00 AM,Hogs,71.41,,75.74,69.32,75.24,,75.1,75.48,74.96,73.59,72.4,9/8/2021 10:08:45 AM
215466,3/1/1985 12:00:00 AM,"Slaughter, calves",82.07,,87.4,92.61,72.46,70.72,70.72,88.5,77.75,91.66,82.53,9/8/2021 10:08:45 AM
215467,3/1/1985 12:00:00 AM,"Slaughter, cattle",70.43,,64.7,74.25,64.51,72.17,72.17,83,66.8,50.06,69.31,9/8/2021 10:08:45 AM
215468,3/1/1985 12:00:00 AM,Hogs,67.94,,72.37,65.65,71.36,,71.5,70.81,70.85,69.13,69.12,9/8/2021 10:08:45 AM
215469,4/1/1985 12:00:00 AM,"Slaughter, calves",80.06,,86.84,92.63,69.44,74.5,74.5,85.8,74.88,85.38,79.71,9/8/2021 10:08:45 AM
215470,4/1/1985 12:00:00 AM,"Slaughter, cattle",69.53,,65.02,74.47,62.4,68.38,68.38,80.5,65.34,52.43,70.67,9/8/2021 10:08:45 AM
215471,4/1/1985 12:00:00 AM,Hogs,59.06,,65.32,57.11,62.39,,62.39,61.25,61.12,59.63,58.92,9/8/2021 10:08:45 AM
215472,5/1/1985 12:00:00 AM,"Slaughter, calves",80.23,,86.26,92.84,69.84,76.26,76.26,84.4,74.27,87.21,80.15,9/8/2021 10:08:45 AM
215473,5/1/1985 12:00:00 AM,"Slaughter, cattle",70.09,,64.61,72.93,62.65,69.14,69.14,79.7,66.61,51.12,70.77,9/8/2021 10:08:45 AM
215474,5/1/1985 12:00:00 AM,Hogs,61.02,,64.61,60.51,61.18,,61.01,63.2,61.58,61.21,60.13,9/8/2021 10:08:45 AM
215475,6/1/1985 12:00:00 AM,"Slaughter, calves",80.33,,86.75,93.6,74.83,75.33,75.33,87,79.5,92.53,81.7,9/8/2021 10:08:45 AM
215476,6/1/1985 12:00:00 AM,"Slaughter, cattle",70.33,,64.35,72.76,61.21,70.47,70.47,78.6,67.59,53.39,70.38,9/8/2021 10:08:45 AM
215477,6/1/1985 12:00:00 AM,Hogs,65.39,,68.89,62.72,67.42,,67.5,69.5,68.32,67.67,64.98,9/8/2021 10:08:45 AM
215478,7/1/1985 12:00:00 AM,"Slaughter, calves",78.46,,80.22,91.17,76.27,74.63,74.63,84.5,74.84,81.52,78.2,9/8/2021 10:08:45 AM
215479,7/1/1985 12:00:00 AM,"Slaughter, cattle",65.09,,62.41,70.9,58.65,69.72,69.72,75.1,63.88,50.25,66.51,9/8/2021 10:08:45 AM
215480,7/1/1985 12:00:00 AM,Hogs,69.11,,72.42,66.12,71.03,,71.18,72.98,71.18,71.15,68.28,9/8/2021 10:08:45 AM
215481,8/1/1985 12:00:00 AM,"Slaughter, calves",76.11,,71.22,87.68,76.19,69.61,69.61,82.2,74.25,77.64,79.65,9/8/2021 10:08:45 AM
215482,8/1/1985 12:00:00 AM,"Slaughter, cattle",64.23,,59.74,68.18,59.56,66.78,66.78,70.1,63.13,51.73,64.89,9/8/2021 10:08:45 AM
215483,8/1/1985 12:00:00 AM,Hogs,63.48,,66.77,60.43,68.69,,68.72,69.38,68.06,67.39,63.69,9/8/2021 10:08:45 AM
215484,9/1/1985 12:00:00 AM,"Slaughter, calves",78.46,,75.08,85.09,70.7,68.9,68.9,82.8,77.17,81.92,81.93,9/8/2021 10:08:45 AM
