ID,When,Type,Unit,Alberta,ModifiedDate
152283,04-01-1983 12:00:00 AM,WTI,$US/bbl,30.5,09-17-2021 09:42:06 AM
152284,05-01-1983 12:00:00 AM,WTI,$US/bbl,30.16,09-17-2021 09:42:06 AM
152285,06-01-1983 12:00:00 AM,WTI,$US/bbl,30.96,09-17-2021 09:42:06 AM
152286,07-01-1983 12:00:00 AM,WTI,$US/bbl,31.59,09-17-2021 09:42:06 AM
152287,08-01-1983 12:00:00 AM,WTI,$US/bbl,31.88,09-17-2021 09:42:06 AM
152288,09-01-1983 12:00:00 AM,WTI,$US/bbl,31.24,09-17-2021 09:42:06 AM
152289,10-01-1983 12:00:00 AM,WTI,$US/bbl,30.4,09-17-2021 09:42:06 AM
152290,11-01-1983 12:00:00 AM,WTI,$US/bbl,29.86,09-17-2021 09:42:06 AM
152291,12-01-1983 12:00:00 AM,WTI,$US/bbl,29.24,09-17-2021 09:42:06 AM
152292,01-01-1984 12:00:00 AM,WTI,$US/bbl,29.65,09-17-2021 09:42:06 AM
152293,02-01-1984 12:00:00 AM,WTI,$US/bbl,30.05,09-17-2021 09:42:06 AM
152294,03-01-1984 12:00:00 AM,WTI,$US/bbl,30.72,09-17-2021 09:42:06 AM
152295,04-01-1984 12:00:00 AM,WTI,$US/bbl,30.65,09-17-2021 09:42:06 AM
152296,05-01-1984 12:00:00 AM,WTI,$US/bbl,30.55,09-17-2021 09:42:06 AM
152297,06-01-1984 12:00:00 AM,WTI,$US/bbl,29.98,09-17-2021 09:42:06 AM
152298,07-01-1984 12:00:00 AM,WTI,$US/bbl,28.74,09-17-2021 09:42:06 AM
152299,08-01-1984 12:00:00 AM,WTI,$US/bbl,29.33,09-17-2021 09:42:06 AM
152300,09-01-1984 12:00:00 AM,WTI,$US/bbl,29.38,09-17-2021 09:42:06 AM
152301,10-01-1984 12:00:00 AM,WTI,$US/bbl,28.8,09-17-2021 09:42:06 AM
152302,11-01-1984 12:00:00 AM,WTI,$US/bbl,28.11,09-17-2021 09:42:06 AM
152303,12-01-1984 12:00:00 AM,WTI,$US/bbl,26.91,09-17-2021 09:42:06 AM
152304,01-01-1985 12:00:00 AM,WTI,$US/bbl,25.64,09-17-2021 09:42:06 AM
152305,02-01-1985 12:00:00 AM,WTI,$US/bbl,27.14,09-17-2021 09:42:06 AM
152306,03-01-1985 12:00:00 AM,WTI,$US/bbl,28.12,09-17-2021 09:42:06 AM
152307,04-01-1985 12:00:00 AM,WTI,$US/bbl,28.71,09-17-2021 09:42:06 AM
152308,05-01-1985 12:00:00 AM,WTI,$US/bbl,27.58,09-17-2021 09:42:06 AM
152309,06-01-1985 12:00:00 AM,WTI,$US/bbl,27.09,09-17-2021 09:42:06 AM
152310,07-01-1985 12:00:00 AM,WTI,$US/bbl,27.27,09-17-2021 09:42:06 AM
152311,08-01-1985 12:00:00 AM,WTI,$US/bbl,27.74,09-17-2021 09:42:06 AM
152312,09-01-1985 12:00:00 AM,WTI,$US/bbl,28.22,09-17-2021 09:42:06 AM
152313,10-01-1985 12:00:00 AM,WTI,$US/bbl,29.48,09-17-2021 09:42:06 AM
152314,11-01-1985 12:00:00 AM,WTI,$US/bbl,30.73,09-17-2021 09:42:06 AM
152315,12-01-1985 12:00:00 AM,WTI,$US/bbl,27.15,09-17-2021 09:42:06 AM
152316,01-01-1986 12:00:00 AM,WTI,$US/bbl,22.98,09-17-2021 09:42:06 AM
152317,02-01-1986 12:00:00 AM,WTI,$US/bbl,15.46,09-17-2021 09:42:06 AM
152318,03-01-1986 12:00:00 AM,WTI,$US/bbl,12.62,09-17-2021 09:42:06 AM
152319,04-01-1986 12:00:00 AM,WTI,$US/bbl,12.75,09-17-2021 09:42:06 AM
152320,05-01-1986 12:00:00 AM,WTI,$US/bbl,15.26,09-17-2021 09:42:06 AM
152321,06-01-1986 12:00:00 AM,WTI,$US/bbl,13.38,09-17-2021 09:42:06 AM
152322,07-01-1986 12:00:00 AM,WTI,$US/bbl,11.58,09-17-2021 09:42:06 AM
152323,08-01-1986 12:00:00 AM,WTI,$US/bbl,15.11,09-17-2021 09:42:06 AM
152324,09-01-1986 12:00:00 AM,WTI,$US/bbl,14.94,09-17-2021 09:42:06 AM
152325,10-01-1986 12:00:00 AM,WTI,$US/bbl,14.89,09-17-2021 09:42:06 AM
152326,11-01-1986 12:00:00 AM,WTI,$US/bbl,15.23,09-17-2021 09:42:06 AM
152327,12-01-1986 12:00:00 AM,WTI,$US/bbl,16.09,09-17-2021 09:42:06 AM
152328,01-01-1987 12:00:00 AM,WTI,$US/bbl,18.67,09-17-2021 09:42:06 AM
152329,02-01-1987 12:00:00 AM,WTI,$US/bbl,17.73,09-17-2021 09:42:06 AM
152330,03-01-1987 12:00:00 AM,WTI,$US/bbl,18.28,09-17-2021 09:42:06 AM
152331,04-01-1987 12:00:00 AM,WTI,$US/bbl,18.6,09-17-2021 09:42:06 AM
152332,05-01-1987 12:00:00 AM,WTI,$US/bbl,19.33,09-17-2021 09:42:06 AM
152333,06-01-1987 12:00:00 AM,WTI,$US/bbl,19.99,09-17-2021 09:42:06 AM
152334,07-01-1987 12:00:00 AM,WTI,$US/bbl,21.33,09-17-2021 09:42:06 AM
152335,08-01-1987 12:00:00 AM,WTI,$US/bbl,20.23,09-17-2021 09:42:06 AM
152336,09-01-1987 12:00:00 AM,WTI,$US/bbl,19.52,09-17-2021 09:42:06 AM
152337,10-01-1987 12:00:00 AM,WTI,$US/bbl,19.86,09-17-2021 09:42:06 AM
152338,11-01-1987 12:00:00 AM,WTI,$US/bbl,18.85,09-17-2021 09:42:06 AM
152339,12-01-1987 12:00:00 AM,WTI,$US/bbl,17.26,09-17-2021 09:42:06 AM
152340,01-01-1988 12:00:00 AM,WTI,$US/bbl,17.15,09-17-2021 09:42:06 AM
152341,02-01-1988 12:00:00 AM,WTI,$US/bbl,16.76,09-17-2021 09:42:06 AM
152342,03-01-1988 12:00:00 AM,WTI,$US/bbl,16.21,09-17-2021 09:42:06 AM
152343,04-01-1988 12:00:00 AM,WTI,$US/bbl,17.88,09-17-2021 09:42:06 AM
152344,05-01-1988 12:00:00 AM,WTI,$US/bbl,17.45,09-17-2021 09:42:06 AM
152345,06-01-1988 12:00:00 AM,WTI,$US/bbl,16.56,09-17-2021 09:42:06 AM
152346,07-01-1988 12:00:00 AM,WTI,$US/bbl,15.51,09-17-2021 09:42:06 AM
152347,08-01-1988 12:00:00 AM,WTI,$US/bbl,15.53,09-17-2021 09:42:06 AM
152348,09-01-1988 12:00:00 AM,WTI,$US/bbl,14.46,09-17-2021 09:42:06 AM
152349,10-01-1988 12:00:00 AM,WTI,$US/bbl,13.8,09-17-2021 09:42:06 AM
152350,11-01-1988 12:00:00 AM,WTI,$US/bbl,13.98,09-17-2021 09:42:06 AM
152351,12-01-1988 12:00:00 AM,WTI,$US/bbl,16.28,09-17-2021 09:42:06 AM
152352,01-01-1989 12:00:00 AM,WTI,$US/bbl,17.98,09-17-2021 09:42:06 AM
152353,02-01-1989 12:00:00 AM,WTI,$US/bbl,17.82,09-17-2021 09:42:06 AM
152354,03-01-1989 12:00:00 AM,WTI,$US/bbl,19.44,09-17-2021 09:42:06 AM
152355,04-01-1989 12:00:00 AM,WTI,$US/bbl,20.94,09-17-2021 09:42:06 AM
152356,05-01-1989 12:00:00 AM,WTI,$US/bbl,20.03,09-17-2021 09:42:06 AM
152357,06-01-1989 12:00:00 AM,WTI,$US/bbl,19.99,09-17-2021 09:42:06 AM
152358,07-01-1989 12:00:00 AM,WTI,$US/bbl,19.66,09-17-2021 09:42:06 AM
152359,08-01-1989 12:00:00 AM,WTI,$US/bbl,18.55,09-17-2021 09:42:06 AM
152360,09-01-1989 12:00:00 AM,WTI,$US/bbl,19.59,09-17-2021 09:42:06 AM
152361,10-01-1989 12:00:00 AM,WTI,$US/bbl,20.1,09-17-2021 09:42:06 AM
152362,11-01-1989 12:00:00 AM,WTI,$US/bbl,19.83,09-17-2021 09:42:06 AM
152363,12-01-1989 12:00:00 AM,WTI,$US/bbl,21.09,09-17-2021 09:42:06 AM
152364,01-01-1990 12:00:00 AM,WTI,$US/bbl,22.64,09-17-2021 09:42:06 AM
152365,02-01-1990 12:00:00 AM,WTI,$US/bbl,22.11,09-17-2021 09:42:06 AM
152366,03-01-1990 12:00:00 AM,WTI,$US/bbl,20.41,09-17-2021 09:42:06 AM
152367,04-01-1990 12:00:00 AM,WTI,$US/bbl,18.58,09-17-2021 09:42:06 AM
152368,05-01-1990 12:00:00 AM,WTI,$US/bbl,18.46,09-17-2021 09:42:06 AM
152369,06-01-1990 12:00:00 AM,WTI,$US/bbl,16.86,09-17-2021 09:42:06 AM
152370,07-01-1990 12:00:00 AM,WTI,$US/bbl,18.64,09-17-2021 09:42:06 AM
152371,08-01-1990 12:00:00 AM,WTI,$US/bbl,27.18,09-17-2021 09:42:06 AM
152372,09-01-1990 12:00:00 AM,WTI,$US/bbl,33.69,09-17-2021 09:42:06 AM
152373,10-01-1990 12:00:00 AM,WTI,$US/bbl,35.92,09-17-2021 09:42:06 AM
152374,11-01-1990 12:00:00 AM,WTI,$US/bbl,32.3,09-17-2021 09:42:06 AM
152375,12-01-1990 12:00:00 AM,WTI,$US/bbl,27.16,09-17-2021 09:42:06 AM
152376,01-01-1991 12:00:00 AM,WTI,$US/bbl,24.7,09-17-2021 09:42:06 AM
152377,02-01-1991 12:00:00 AM,WTI,$US/bbl,20.54,09-17-2021 09:42:06 AM
152378,03-01-1991 12:00:00 AM,WTI,$US/bbl,19.88,09-17-2021 09:42:06 AM
152379,04-01-1991 12:00:00 AM,WTI,$US/bbl,20.82,09-17-2021 09:42:06 AM
