Id,When,Type,Alberta,BritishColumbia,Canada,Manitoba,NewBrunswick,NewfoundlandAndLabrador,NovaScotia,Ontario,PrinceEdwardIsland,Quebec,Saskatchewan,ModifiedDate
57068,1/1/1946 12:00:00 AM,NetInternationalMigration,1044,1278,12738,722,520,,701,5319,73,2305,765,9/29/2021 8:25:36 AM
57069,4/1/1946 12:00:00 AM,NetInternationalMigration,1718,2511,21176,1390,1029,,1293,9006,194,2567,1461,9/29/2021 8:25:36 AM
57070,7/1/1946 12:00:00 AM,NetInternationalMigration,2095,2925,25078,1738,1260,,1697,10151,222,3167,1813,9/29/2021 8:25:36 AM
57071,10/1/1946 12:00:00 AM,NetInternationalMigration,914,1905,12727,765,656,,913,5128,97,1673,672,9/29/2021 8:25:36 AM
57072,1/1/1947 12:00:00 AM,NetInternationalMigration,569,1368,8009,384,237,,413,3544,44,1153,295,9/29/2021 8:25:36 AM
57073,4/1/1947 12:00:00 AM,NetInternationalMigration,875,2066,13404,571,321,,570,6524,60,1850,553,9/29/2021 8:25:36 AM
57074,7/1/1947 12:00:00 AM,NetInternationalMigration,812,2333,18624,642,373,,707,11042,64,2104,534,9/29/2021 8:25:36 AM
57075,10/1/1947 12:00:00 AM,NetInternationalMigration,1005,2832,24090,1150,317,,604,14433,55,3165,519,9/29/2021 8:25:36 AM
57076,1/1/1948 12:00:00 AM,NetInternationalMigration,1233,2668,23076,1095,295,,456,11504,27,5126,644,9/29/2021 8:25:36 AM
57077,4/1/1948 12:00:00 AM,NetInternationalMigration,3363,3330,34199,2154,396,,652,17594,66,5330,1289,9/29/2021 8:25:36 AM
57078,7/1/1948 12:00:00 AM,NetInternationalMigration,2761,2910,33932,2047,379,,779,16433,108,6856,1643,9/29/2021 8:25:36 AM
57079,10/1/1948 12:00:00 AM,NetInternationalMigration,2358,3010,34207,2454,406,,926,16090,68,7375,1511,9/29/2021 8:25:36 AM
57080,1/1/1949 12:00:00 AM,NetInternationalMigration,2037,1766,23265,1266,181,,416,12422,40,4184,929,9/29/2021 8:25:36 AM
57081,4/1/1949 12:00:00 AM,NetInternationalMigration,2999,2472,30243,2033,249,50,474,15310,89,5419,1139,9/29/2021 8:25:36 AM
57082,7/1/1949 12:00:00 AM,NetInternationalMigration,1908,1917,22641,1228,191,43,374,11240,67,4844,815,9/29/2021 8:25:36 AM
57083,10/1/1949 12:00:00 AM,NetInternationalMigration,1575,1719,19068,1194,161,36,362,9635,44,3558,781,9/29/2021 8:25:36 AM
57084,1/1/1950 12:00:00 AM,NetInternationalMigration,1091,1181,14470,888,80,26,240,7731,41,2618,566,9/29/2021 8:25:36 AM
57085,4/1/1950 12:00:00 AM,NetInternationalMigration,2734,1701,22816,1239,226,54,398,11719,52,3718,967,9/29/2021 8:25:36 AM
57086,7/1/1950 12:00:00 AM,NetInternationalMigration,1302,1577,16964,707,174,57,277,8815,44,3335,670,9/29/2021 8:25:36 AM
57087,10/1/1950 12:00:00 AM,NetInternationalMigration,1297,1632,19662,820,183,67,252,10776,27,3904,694,9/29/2021 8:25:36 AM
57088,1/1/1951 12:00:00 AM,NetInternationalMigration,1846,1976,25914,1058,241,66,340,14710,24,4905,747,9/29/2021 8:25:36 AM
57089,4/1/1951 12:00:00 AM,NetInternationalMigration,4584,3673,53871,2642,398,47,551,30372,90,10299,1206,9/29/2021 8:25:36 AM
57090,7/1/1951 12:00:00 AM,NetInternationalMigration,1790,2457,36463,1657,20,-163,-10,22382,-24,8129,240,9/29/2021 8:25:36 AM
57091,10/1/1951 12:00:00 AM,NetInternationalMigration,2303,3201,50869,2369,10,-117,170,28217,-59,14318,475,9/29/2021 8:25:36 AM
57092,1/1/1952 12:00:00 AM,NetInternationalMigration,1747,1924,29106,1093,-161,-141,174,18568,-26,5798,150,9/29/2021 8:25:36 AM
57093,4/1/1952 12:00:00 AM,NetInternationalMigration,3820,3472,40629,1661,-166,-124,431,24482,25,6692,351,9/29/2021 8:25:36 AM
57094,7/1/1952 12:00:00 AM,NetInternationalMigration,2265,2297,20676,855,-350,-290,-198,13187,-29,2713,230,9/29/2021 8:25:36 AM
57095,10/1/1952 12:00:00 AM,NetInternationalMigration,1255,1563,13528,93,-378,-280,-265,10150,-80,1703,-217,9/29/2021 8:25:36 AM
57096,1/1/1953 12:00:00 AM,NetInternationalMigration,1456,1133,10387,249,-78,-224,-66,7995,-28,88,-20,9/29/2021 8:25:36 AM
57097,4/1/1953 12:00:00 AM,NetInternationalMigration,5326,3170,42306,2049,-189,-209,228,24551,42,6919,428,9/29/2021 8:25:36 AM
57098,7/1/1953 12:00:00 AM,NetInternationalMigration,2968,2381,30610,1819,-407,-277,-249,18639,-75,5712,93,9/29/2021 8:25:36 AM
57099,10/1/1953 12:00:00 AM,NetInternationalMigration,1686,1745,27590,794,-387,-296,-199,19818,-84,4719,-192,9/29/2021 8:25:36 AM
57100,1/1/1954 12:00:00 AM,NetInternationalMigration,1384,1288,16198,397,-229,-236,-94,12322,-57,1653,-225,9/29/2021 8:25:36 AM
57101,4/1/1954 12:00:00 AM,NetInternationalMigration,4833,3285,44210,3096,-212,-153,109,26192,-49,6601,508,9/29/2021 8:25:36 AM
57102,7/1/1954 12:00:00 AM,NetInternationalMigration,2500,1815,24814,2243,-276,-287,-28,15458,-92,2957,529,9/29/2021 8:25:36 AM
57103,10/1/1954 12:00:00 AM,NetInternationalMigration,850,1344,11855,237,-424,-285,-293,9754,-96,1022,-243,9/29/2021 8:25:36 AM
57104,1/1/1955 12:00:00 AM,NetInternationalMigration,450,959,5580,78,-335,-207,-80,5262,-64,-146,-321,9/29/2021 8:25:36 AM
57105,4/1/1955 12:00:00 AM,NetInternationalMigration,2105,2939,27323,1161,-308,-210,167,17024,-46,4427,60,9/29/2021 8:25:36 AM
57106,7/1/1955 12:00:00 AM,NetInternationalMigration,771,1707,8829,347,-512,-400,-482,7576,-75,161,-239,9/29/2021 8:25:36 AM
57107,10/1/1955 12:00:00 AM,NetInternationalMigration,351,962,6321,50,-452,-346,-412,6670,-85,112,-511,9/29/2021 8:25:36 AM
57108,1/1/1956 12:00:00 AM,NetInternationalMigration,213,1161,4805,-147,-333,-281,-227,5375,-56,-374,-519,9/29/2021 8:25:36 AM
57109,4/1/1956 12:00:00 AM,NetInternationalMigration,2349,3713,33384,922,-329,-283,-107,22566,-70,4854,-238,9/29/2021 8:25:36 AM
57110,7/1/1956 12:00:00 AM,NetInternationalMigration,1899,3135,20929,493,-314,-93,-294,12854,-81,3356,-41,9/29/2021 8:25:36 AM
57111,10/1/1956 12:00:00 AM,NetInternationalMigration,2428,4291,36986,766,-296,-75,-107,23285,-88,6687,62,9/29/2021 8:25:36 AM
57112,1/1/1957 12:00:00 AM,NetInternationalMigration,3276,7001,47031,1994,27,-57,279,24927,-58,9173,447,9/29/2021 8:25:36 AM
57113,4/1/1957 12:00:00 AM,NetInternationalMigration,9179,14068,103101,3895,240,-71,604,56110,-70,18143,935,9/29/2021 8:25:36 AM
57114,7/1/1957 12:00:00 AM,NetInternationalMigration,4298,7409,40554,1319,-293,-74,-130,20631,-75,6923,515,9/29/2021 8:25:36 AM
57115,10/1/1957 12:00:00 AM,NetInternationalMigration,1707,2423,17095,122,-397,-129,-264,10640,-93,3050,1,9/29/2021 8:25:36 AM
57116,1/1/1958 12:00:00 AM,NetInternationalMigration,852,1209,8278,-17,-97,-97,121,4751,-58,1686,-87,9/29/2021 8:25:36 AM
57117,4/1/1958 12:00:00 AM,NetInternationalMigration,2947,3850,31613,1175,-205,-103,-34,16584,-55,7081,340,9/29/2021 8:25:36 AM
57118,7/1/1958 12:00:00 AM,NetInternationalMigration,1642,1663,14757,281,-162,-101,55,7903,-85,3172,372,9/29/2021 8:25:36 AM
57119,10/1/1958 12:00:00 AM,NetInternationalMigration,832,1097,8522,-258,-357,-96,-235,5705,-82,2015,-128,9/29/2021 8:25:36 AM
57120,1/1/1959 12:00:00 AM,NetInternationalMigration,685,612,4483,-282,-306,-115,-222,3456,-58,852,-157,9/29/2021 8:25:36 AM
57121,4/1/1959 12:00:00 AM,NetInternationalMigration,2586,2545,25001,538,-332,-108,-116,14599,-55,5142,175,9/29/2021 8:25:36 AM
57122,7/1/1959 12:00:00 AM,NetInternationalMigration,1065,1297,6698,-203,-357,-106,-322,3917,-98,1693,-216,9/29/2021 8:25:36 AM
57123,10/1/1959 12:00:00 AM,NetInternationalMigration,630,340,1557,-430,-368,-135,-381,1616,-96,711,-341,9/29/2021 8:25:36 AM
57124,1/1/1960 12:00:00 AM,NetInternationalMigration,504,301,1448,-346,-363,-113,-261,1709,-76,325,-236,9/29/2021 8:25:36 AM
57125,4/1/1960 12:00:00 AM,NetInternationalMigration,2458,2316,23843,1023,-322,-130,-166,13832,-74,4606,263,9/29/2021 8:25:36 AM
57126,7/1/1960 12:00:00 AM,NetInternationalMigration,866,688,3578,-211,-400,-150,-334,2528,-104,855,-180,9/29/2021 8:25:36 AM
57127,10/1/1960 12:00:00 AM,NetInternationalMigration,401,92,-354,-484,-399,-129,-372,1071,-101,-115,-329,9/29/2021 8:25:36 AM
57128,1/1/1961 12:00:00 AM,NetInternationalMigration,236,-44,-2145,-501,-329,-119,-284,-55,-58,-700,-309,9/29/2021 8:25:36 AM
57129,4/1/1961 12:00:00 AM,NetInternationalMigration,799,844,7868,99,-327,-199,-304,5854,-86,1355,-198,9/29/2021 8:25:36 AM
57130,7/1/1961 12:00:00 AM,NetInternationalMigration,-121,266,-2175,-455,-442,-415,-632,1846,-100,-1425,-697,9/29/2021 8:25:36 AM
57131,10/1/1961 12:00:00 AM,NetInternationalMigration,-420,-228,-4164,-448,-434,-403,-551,984,-105,-1826,-712,9/29/2021 8:25:36 AM
