ID,When,Type,Unit,Alberta,ModifiedDate
172001,04-01-1983 12:00:00 AM,WTI,$US/bbl,30.5,09-23-2021 03:36:41 PM
172002,05-01-1983 12:00:00 AM,WTI,$US/bbl,30.16,09-23-2021 03:36:41 PM
172003,06-01-1983 12:00:00 AM,WTI,$US/bbl,30.96,09-23-2021 03:36:41 PM
172004,07-01-1983 12:00:00 AM,WTI,$US/bbl,31.59,09-23-2021 03:36:41 PM
172005,08-01-1983 12:00:00 AM,WTI,$US/bbl,31.88,09-23-2021 03:36:41 PM
172006,09-01-1983 12:00:00 AM,WTI,$US/bbl,31.24,09-23-2021 03:36:41 PM
172007,10-01-1983 12:00:00 AM,WTI,$US/bbl,30.4,09-23-2021 03:36:41 PM
172008,11-01-1983 12:00:00 AM,WTI,$US/bbl,29.86,09-23-2021 03:36:41 PM
172009,12-01-1983 12:00:00 AM,WTI,$US/bbl,29.24,09-23-2021 03:36:41 PM
172010,01-01-1984 12:00:00 AM,WTI,$US/bbl,29.65,09-23-2021 03:36:41 PM
172011,02-01-1984 12:00:00 AM,WTI,$US/bbl,30.05,09-23-2021 03:36:41 PM
172012,03-01-1984 12:00:00 AM,WTI,$US/bbl,30.72,09-23-2021 03:36:41 PM
172013,04-01-1984 12:00:00 AM,WTI,$US/bbl,30.65,09-23-2021 03:36:41 PM
172014,05-01-1984 12:00:00 AM,WTI,$US/bbl,30.55,09-23-2021 03:36:41 PM
172015,06-01-1984 12:00:00 AM,WTI,$US/bbl,29.98,09-23-2021 03:36:41 PM
172016,07-01-1984 12:00:00 AM,WTI,$US/bbl,28.74,09-23-2021 03:36:41 PM
172017,08-01-1984 12:00:00 AM,WTI,$US/bbl,29.33,09-23-2021 03:36:41 PM
172018,09-01-1984 12:00:00 AM,WTI,$US/bbl,29.38,09-23-2021 03:36:41 PM
172019,10-01-1984 12:00:00 AM,WTI,$US/bbl,28.8,09-23-2021 03:36:41 PM
172020,11-01-1984 12:00:00 AM,WTI,$US/bbl,28.11,09-23-2021 03:36:41 PM
172021,12-01-1984 12:00:00 AM,WTI,$US/bbl,26.91,09-23-2021 03:36:41 PM
172022,01-01-1985 12:00:00 AM,WTI,$US/bbl,25.64,09-23-2021 03:36:41 PM
172023,02-01-1985 12:00:00 AM,WTI,$US/bbl,27.14,09-23-2021 03:36:41 PM
172024,03-01-1985 12:00:00 AM,WTI,$US/bbl,28.12,09-23-2021 03:36:41 PM
172025,04-01-1985 12:00:00 AM,WTI,$US/bbl,28.71,09-23-2021 03:36:41 PM
172026,05-01-1985 12:00:00 AM,WTI,$US/bbl,27.58,09-23-2021 03:36:41 PM
172027,06-01-1985 12:00:00 AM,WTI,$US/bbl,27.09,09-23-2021 03:36:41 PM
172028,07-01-1985 12:00:00 AM,WTI,$US/bbl,27.27,09-23-2021 03:36:41 PM
172029,08-01-1985 12:00:00 AM,WTI,$US/bbl,27.74,09-23-2021 03:36:41 PM
172030,09-01-1985 12:00:00 AM,WTI,$US/bbl,28.22,09-23-2021 03:36:41 PM
172031,10-01-1985 12:00:00 AM,WTI,$US/bbl,29.48,09-23-2021 03:36:41 PM
172032,11-01-1985 12:00:00 AM,WTI,$US/bbl,30.73,09-23-2021 03:36:41 PM
172033,12-01-1985 12:00:00 AM,WTI,$US/bbl,27.15,09-23-2021 03:36:41 PM
172034,01-01-1986 12:00:00 AM,WTI,$US/bbl,22.98,09-23-2021 03:36:41 PM
172035,02-01-1986 12:00:00 AM,WTI,$US/bbl,15.46,09-23-2021 03:36:41 PM
172036,03-01-1986 12:00:00 AM,WTI,$US/bbl,12.62,09-23-2021 03:36:41 PM
172037,04-01-1986 12:00:00 AM,WTI,$US/bbl,12.75,09-23-2021 03:36:41 PM
172038,05-01-1986 12:00:00 AM,WTI,$US/bbl,15.26,09-23-2021 03:36:41 PM
172039,06-01-1986 12:00:00 AM,WTI,$US/bbl,13.38,09-23-2021 03:36:41 PM
172040,07-01-1986 12:00:00 AM,WTI,$US/bbl,11.58,09-23-2021 03:36:41 PM
172041,08-01-1986 12:00:00 AM,WTI,$US/bbl,15.11,09-23-2021 03:36:41 PM
172042,09-01-1986 12:00:00 AM,WTI,$US/bbl,14.94,09-23-2021 03:36:41 PM
172043,10-01-1986 12:00:00 AM,WTI,$US/bbl,14.89,09-23-2021 03:36:41 PM
172044,11-01-1986 12:00:00 AM,WTI,$US/bbl,15.23,09-23-2021 03:36:41 PM
172045,12-01-1986 12:00:00 AM,WTI,$US/bbl,16.09,09-23-2021 03:36:41 PM
172046,01-01-1987 12:00:00 AM,WTI,$US/bbl,18.67,09-23-2021 03:36:41 PM
172047,02-01-1987 12:00:00 AM,WTI,$US/bbl,17.73,09-23-2021 03:36:41 PM
172048,03-01-1987 12:00:00 AM,WTI,$US/bbl,18.28,09-23-2021 03:36:41 PM
172049,04-01-1987 12:00:00 AM,WTI,$US/bbl,18.6,09-23-2021 03:36:41 PM
