ID,When,Type,Alberta,ModifiedDate
97516,01-01-2007 12:00:00 AM,Conventional Oil,2707743.4,09-30-2021 11:18:17 AM
97517,01-01-2007 12:00:00 AM,Non-Conventional Oil,5604533.2,09-30-2021 11:18:17 AM
97518,01-01-2007 12:00:00 AM,Natural Gas,11802035900,09-30-2021 11:18:17 AM
97519,02-01-2007 12:00:00 AM,Natural Gas,10625649100,09-30-2021 11:18:17 AM
97520,02-01-2007 12:00:00 AM,Conventional Oil,2450594.2,09-30-2021 11:18:17 AM
97521,02-01-2007 12:00:00 AM,Non-Conventional Oil,5414892.8,09-30-2021 11:18:17 AM
97522,03-01-2007 12:00:00 AM,Natural Gas,11857260000,09-30-2021 11:18:17 AM
97523,03-01-2007 12:00:00 AM,Conventional Oil,2703836.8,09-30-2021 11:18:17 AM
97524,03-01-2007 12:00:00 AM,Non-Conventional Oil,6082110.5,09-30-2021 11:18:17 AM
97525,04-01-2007 12:00:00 AM,Non-Conventional Oil,5463210.8,09-30-2021 11:18:17 AM
97526,04-01-2007 12:00:00 AM,Natural Gas,11494242300,09-30-2021 11:18:17 AM
97527,04-01-2007 12:00:00 AM,Conventional Oil,2567241.4,09-30-2021 11:18:17 AM
97528,05-01-2007 12:00:00 AM,Non-Conventional Oil,5460600.2,09-30-2021 11:18:17 AM
97529,05-01-2007 12:00:00 AM,Natural Gas,11691035100,09-30-2021 11:18:17 AM
97530,05-01-2007 12:00:00 AM,Conventional Oil,2614545.2,09-30-2021 11:18:17 AM
97531,06-01-2007 12:00:00 AM,Conventional Oil,2493203.4,09-30-2021 11:18:17 AM
97532,06-01-2007 12:00:00 AM,Non-Conventional Oil,5116667.3,09-30-2021 11:18:17 AM
97533,06-01-2007 12:00:00 AM,Natural Gas,10969959700,09-30-2021 11:18:17 AM
97534,07-01-2007 12:00:00 AM,Natural Gas,11288091400,09-30-2021 11:18:17 AM
97535,07-01-2007 12:00:00 AM,Conventional Oil,2587857.9,09-30-2021 11:18:17 AM
97536,07-01-2007 12:00:00 AM,Non-Conventional Oil,5897322.8,09-30-2021 11:18:17 AM
97537,08-01-2007 12:00:00 AM,Natural Gas,11454413900,09-30-2021 11:18:17 AM
97538,08-01-2007 12:00:00 AM,Non-Conventional Oil,6563190.2,09-30-2021 11:18:17 AM
97539,08-01-2007 12:00:00 AM,Conventional Oil,2625063.6,09-30-2021 11:18:17 AM
97540,09-01-2007 12:00:00 AM,Conventional Oil,2542775.1,09-30-2021 11:18:17 AM
97541,09-01-2007 12:00:00 AM,Non-Conventional Oil,5958279.5,09-30-2021 11:18:17 AM
97542,09-01-2007 12:00:00 AM,Natural Gas,10837386100,09-30-2021 11:18:17 AM
97543,10-01-2007 12:00:00 AM,Natural Gas,11329483100,09-30-2021 11:18:17 AM
97544,10-01-2007 12:00:00 AM,Conventional Oil,2660162.3,09-30-2021 11:18:17 AM
97545,10-01-2007 12:00:00 AM,Non-Conventional Oil,6261577.2,09-30-2021 11:18:17 AM
97546,11-01-2007 12:00:00 AM,Conventional Oil,2582593.5,09-30-2021 11:18:17 AM
97547,11-01-2007 12:00:00 AM,Natural Gas,10838370800,09-30-2021 11:18:17 AM
97548,11-01-2007 12:00:00 AM,Non-Conventional Oil,5899203.4,09-30-2021 11:18:17 AM
97549,12-01-2007 12:00:00 AM,Conventional Oil,2653020.4,09-30-2021 11:18:17 AM
97550,12-01-2007 12:00:00 AM,Natural Gas,11183664700,09-30-2021 11:18:17 AM
97551,12-01-2007 12:00:00 AM,Non-Conventional Oil,5368131.5,09-30-2021 11:18:17 AM
97552,01-01-2008 12:00:00 AM,Non-Conventional Oil,5891070,09-30-2021 11:18:17 AM
97553,01-01-2008 12:00:00 AM,Conventional Oil,2589269.4,09-30-2021 11:18:17 AM
97554,01-01-2008 12:00:00 AM,Natural Gas,10980935700,09-30-2021 11:18:17 AM
97555,02-01-2008 12:00:00 AM,Conventional Oil,2424163.9,09-30-2021 11:18:17 AM
97556,02-01-2008 12:00:00 AM,Non-Conventional Oil,5334417.3,09-30-2021 11:18:17 AM
97557,02-01-2008 12:00:00 AM,Natural Gas,10147513800,09-30-2021 11:18:17 AM
97558,03-01-2008 12:00:00 AM,Non-Conventional Oil,5844382.4,09-30-2021 11:18:17 AM
97559,03-01-2008 12:00:00 AM,Natural Gas,11150199500,09-30-2021 11:18:17 AM
97560,03-01-2008 12:00:00 AM,Conventional Oil,2668296.6,09-30-2021 11:18:17 AM
97561,04-01-2008 12:00:00 AM,Non-Conventional Oil,5363264,09-30-2021 11:18:17 AM
97562,04-01-2008 12:00:00 AM,Natural Gas,10919866200,09-30-2021 11:18:17 AM
97563,04-01-2008 12:00:00 AM,Conventional Oil,2539888.3,09-30-2021 11:18:17 AM
97564,05-01-2008 12:00:00 AM,Conventional Oil,2530247.2,09-30-2021 11:18:17 AM
97565,05-01-2008 12:00:00 AM,Natural Gas,10995861300,09-30-2021 11:18:17 AM
97566,05-01-2008 12:00:00 AM,Non-Conventional Oil,5187830.4,09-30-2021 11:18:17 AM
97567,06-01-2008 12:00:00 AM,Natural Gas,10390330200,09-30-2021 11:18:17 AM
97568,06-01-2008 12:00:00 AM,Non-Conventional Oil,5613894.4,09-30-2021 11:18:17 AM
97569,06-01-2008 12:00:00 AM,Conventional Oil,2378587.6,09-30-2021 11:18:17 AM
97570,07-01-2008 12:00:00 AM,Conventional Oil,2526018.2,09-30-2021 11:18:17 AM
97571,07-01-2008 12:00:00 AM,Natural Gas,10952690100,09-30-2021 11:18:17 AM
97572,07-01-2008 12:00:00 AM,Non-Conventional Oil,6236885.7,09-30-2021 11:18:17 AM
97573,08-01-2008 12:00:00 AM,Conventional Oil,2538445.1,09-30-2021 11:18:17 AM
97574,08-01-2008 12:00:00 AM,Non-Conventional Oil,6355391.7,09-30-2021 11:18:17 AM
97575,08-01-2008 12:00:00 AM,Natural Gas,10860352600,09-30-2021 11:18:17 AM
97576,09-01-2008 12:00:00 AM,Non-Conventional Oil,5779555.8,09-30-2021 11:18:17 AM
97577,09-01-2008 12:00:00 AM,Conventional Oil,2458040.1,09-30-2021 11:18:17 AM
97578,09-01-2008 12:00:00 AM,Natural Gas,10401685700,09-30-2021 11:18:17 AM
97579,10-01-2008 12:00:00 AM,Non-Conventional Oil,6021170.7,09-30-2021 11:18:17 AM
97580,10-01-2008 12:00:00 AM,Conventional Oil,2555471.9,09-30-2021 11:18:17 AM
97581,10-01-2008 12:00:00 AM,Natural Gas,10722789700,09-30-2021 11:18:17 AM
97582,11-01-2008 12:00:00 AM,Non-Conventional Oil,6144194.3,09-30-2021 11:18:17 AM
97583,11-01-2008 12:00:00 AM,Natural Gas,10375347200,09-30-2021 11:18:17 AM
97584,11-01-2008 12:00:00 AM,Conventional Oil,2463236.5,09-30-2021 11:18:17 AM
97585,12-01-2008 12:00:00 AM,Non-Conventional Oil,6259388.5,09-30-2021 11:18:17 AM
97586,12-01-2008 12:00:00 AM,Conventional Oil,2462488.3,09-30-2021 11:18:17 AM
97587,12-01-2008 12:00:00 AM,Natural Gas,10337836500,09-30-2021 11:18:17 AM
97588,01-01-2009 12:00:00 AM,Natural Gas,10364157300,09-30-2021 11:18:17 AM
97589,01-01-2009 12:00:00 AM,Conventional Oil,2427019.1,09-30-2021 11:18:17 AM
97590,01-01-2009 12:00:00 AM,Non-Conventional Oil,6188192.4,09-30-2021 11:18:17 AM
