Id,When,DataType,NAICS,ServiceDetail,Alberta,BritishColumbia,Canada,Manitoba,NewBrunswick,NewfoundlandAndLabrador,NovaScotia,Ontario,PrinceEdwardIsland,Quebec,Saskatchewan,ModifiedDate
41761,1/1/1998 12:00:00 AM,Unadjusted,Drinking places (alcoholic beverages),Receipts,20340000,51127000,185179000,1791000,3048000,4043000,6147000,47073000,1394000,47858000,2358000,9/23/2021 8:59:32 AM
41762,1/1/1998 12:00:00 AM,Unadjusted,Full-service restaurants,Receipts,131241000,178128000,1004530000,32627000,17797000,8600000,22662000,357008000,3219000,224241000,24660000,9/23/2021 8:59:32 AM
41763,1/1/1998 12:00:00 AM,Unadjusted,Limited-service eating places,Receipts,99381000,136854000,843805000,29957000,25685000,16655000,31065000,351574000,5311000,117911000,28310000,9/23/2021 8:59:32 AM
41764,1/1/1998 12:00:00 AM,Unadjusted,Special food services,Receipts,18998000,37394000,199697000,2582000,8358000,1940000,5772000,65321000,428000,56166000,2740000,9/23/2021 8:59:32 AM
41765,1/1/1998 12:00:00 AM,Seasonally adjusted,"Total, food services and drinking places",Receipts,291363000,467101000,2622908000,82009000,66730000,36299000,84344000,980116000,15815000,523266000,69029000,9/23/2021 8:59:32 AM
41766,2/1/1998 12:00:00 AM,Unadjusted,Drinking places (alcoholic beverages),Receipts,20093000,57142000,200764000,1808000,3600000,3573000,6629000,53816000,1529000,49204000,3370000,9/23/2021 8:59:32 AM
41767,2/1/1998 12:00:00 AM,Unadjusted,Full-service restaurants,Receipts,122446000,173230000,960887000,32485000,16849000,5898000,20525000,338707000,3236000,219189000,23841000,9/23/2021 8:59:32 AM
41768,2/1/1998 12:00:00 AM,Unadjusted,Limited-service eating places,Receipts,105244000,137768000,882048000,32566000,28524000,16309000,34987000,371223000,6000000,121725000,26638000,9/23/2021 8:59:32 AM
41769,2/1/1998 12:00:00 AM,Unadjusted,Special food services,Receipts,21301000,33714000,199410000,3676000,4622000,1565000,5953000,63852000,505000,60678000,3544000,9/23/2021 8:59:32 AM
41770,2/1/1998 12:00:00 AM,Seasonally adjusted,"Total, food services and drinking places",Receipts,295897000,470223000,2642304000,82882000,64109000,35271000,79195000,988898000,15935000,532562000,70935000,9/23/2021 8:59:32 AM
41771,3/1/1998 12:00:00 AM,Unadjusted,Drinking places (alcoholic beverages),Receipts,16215000,63200000,201749000,2179000,5044000,5463000,5405000,55024000,1304000,42141000,5773000,9/23/2021 8:59:32 AM
41772,3/1/1998 12:00:00 AM,Unadjusted,Full-service restaurants,Receipts,138974000,211222000,1093620000,37331000,21179000,6819000,19496000,375651000,5010000,239992000,32558000,9/23/2021 8:59:32 AM
41773,3/1/1998 12:00:00 AM,Unadjusted,Limited-service eating places,Receipts,114162000,141779000,975621000,38660000,34006000,16588000,41165000,415333000,5162000,133919000,33619000,9/23/2021 8:59:32 AM
41774,3/1/1998 12:00:00 AM,Unadjusted,Special food services,Receipts,24322000,33927000,230962000,3915000,5691000,1433000,7138000,72704000,364000,77693000,3775000,9/23/2021 8:59:32 AM
41775,3/1/1998 12:00:00 AM,Seasonally adjusted,"Total, food services and drinking places",Receipts,291509000,456429000,2606212000,82693000,64220000,34489000,73146000,975679000,15027000,532230000,74393000,9/23/2021 8:59:32 AM
41776,4/1/1998 12:00:00 AM,Unadjusted,Drinking places (alcoholic beverages),Receipts,24556000,67298000,228496000,2387000,4980000,6264000,6116000,54950000,1899000,55433000,4612000,9/23/2021 8:59:32 AM
41777,4/1/1998 12:00:00 AM,Unadjusted,Full-service restaurants,Receipts,137044000,210392000,1162160000,37233000,18877000,7252000,20851000,426294000,4867000,264420000,29788000,9/23/2021 8:59:32 AM
41778,4/1/1998 12:00:00 AM,Unadjusted,Limited-service eating places,Receipts,114998000,142111000,988688000,40259000,30972000,18065000,35061000,415620000,6036000,148460000,35849000,9/23/2021 8:59:32 AM
41779,4/1/1998 12:00:00 AM,Unadjusted,Special food services,Receipts,16322000,36883000,219979000,4262000,5240000,2693000,6367000,67509000,260000,76344000,4098000,9/23/2021 8:59:32 AM
41780,4/1/1998 12:00:00 AM,Seasonally adjusted,"Total, food services and drinking places",Receipts,291770000,468524000,2642669000,83485000,63097000,34773000,73982000,993133000,16758000,538686000,71862000,9/23/2021 8:59:32 AM
41781,5/1/1998 12:00:00 AM,Unadjusted,Drinking places (alcoholic beverages),Receipts,24292000,62494000,216120000,2865000,4166000,5624000,5850000,54636000,1681000,49649000,4863000,9/23/2021 8:59:32 AM
41782,5/1/1998 12:00:00 AM,Unadjusted,Full-service restaurants,Receipts,151248000,232384000,1284080000,39473000,17792000,8830000,22351000,474669000,6441000,294730000,30439000,9/23/2021 8:59:32 AM
41783,5/1/1998 12:00:00 AM,Unadjusted,Limited-service eating places,Receipts,120630000,148557000,1051104000,40601000,32286000,18185000,37412000,445370000,7725000,161935000,36879000,9/23/2021 8:59:32 AM
41784,5/1/1998 12:00:00 AM,Unadjusted,Special food services,Receipts,17145000,41083000,222581000,4092000,4874000,2054000,7878000,76608000,571000,64071000,4206000,9/23/2021 8:59:32 AM
41785,5/1/1998 12:00:00 AM,Seasonally adjusted,"Total, food services and drinking places",Receipts,297599000,473995000,2639427000,84172000,61906000,35146000,73100000,992972000,17132000,523872000,72653000,9/23/2021 8:59:32 AM
41786,6/1/1998 12:00:00 AM,Unadjusted,Drinking places (alcoholic beverages),Receipts,21903000,58313000,201225000,2600000,4190000,6051000,5309000,52735000,1580000,44794000,3751000,9/23/2021 8:59:32 AM
41787,6/1/1998 12:00:00 AM,Unadjusted,Full-service restaurants,Receipts,136176000,236942000,1260043000,41252000,17441000,7146000,21554000,474269000,7099000,282837000,29252000,9/23/2021 8:59:32 AM
41788,6/1/1998 12:00:00 AM,Unadjusted,Limited-service eating places,Receipts,122218000,155014000,1072767000,43782000,33505000,20686000,38416000,445878000,7299000,165547000,38753000,9/23/2021 8:59:32 AM
41789,6/1/1998 12:00:00 AM,Unadjusted,Special food services,Receipts,15826000,41288000,224732000,2449000,2457000,2671000,8251000,83461000,385000,63380000,4564000,9/23/2021 8:59:32 AM
41790,6/1/1998 12:00:00 AM,Seasonally adjusted,"Total, food services and drinking places",Receipts,299998000,480461000,2669525000,84596000,60927000,35081000,73335000,1007332000,18536000,529369000,73131000,9/23/2021 8:59:32 AM
41791,7/1/1998 12:00:00 AM,Unadjusted,Drinking places (alcoholic beverages),Receipts,20156000,62384000,213123000,2615000,4560000,6191000,7113000,49403000,2111000,53243000,5347000,9/23/2021 8:59:32 AM
41792,7/1/1998 12:00:00 AM,Unadjusted,Full-service restaurants,Receipts,153301000,255022000,1365204000,37541000,19765000,8503000,27095000,503504000,11326000,313285000,28995000,9/23/2021 8:59:32 AM
41793,7/1/1998 12:00:00 AM,Unadjusted,Limited-service eating places,Receipts,131565000,167249000,1143190000,45866000,37317000,23677000,39457000,469230000,10333000,177098000,39593000,9/23/2021 8:59:32 AM
41794,7/1/1998 12:00:00 AM,Unadjusted,Special food services,Receipts,14944000,46169000,213689000,3865000,4030000,2096000,5597000,85800000,247000,46773000,4168000,9/23/2021 8:59:32 AM
41795,7/1/1998 12:00:00 AM,Seasonally adjusted,"Total, food services and drinking places",Receipts,303299000,477276000,2657016000,84751000,61582000,35462000,72044000,1001878000,16592000,525080000,72237000,9/23/2021 8:59:32 AM
41796,8/1/1998 12:00:00 AM,Unadjusted,Drinking places (alcoholic beverages),Receipts,21075000,63926000,214395000,2283000,5126000,5887000,6445000,53512000,2120000,49413000,4609000,9/23/2021 8:59:32 AM
41797,8/1/1998 12:00:00 AM,Unadjusted,Full-service restaurants,Receipts,159181000,259189000,1401736000,37883000,22240000,8204000,30801000,531033000,13268000,301632000,32178000,9/23/2021 8:59:32 AM
41798,8/1/1998 12:00:00 AM,Unadjusted,Limited-service eating places,Receipts,122080000,153989000,1062153000,40960000,36790000,21243000,38768000,441388000,9275000,159620000,36300000,9/23/2021 8:59:32 AM
41799,8/1/1998 12:00:00 AM,Unadjusted,Special food services,Receipts,15487000,46234000,205782000,4952000,3988000,1742000,5789000,73234000,482000,49996000,3878000,9/23/2021 8:59:32 AM
41800,8/1/1998 12:00:00 AM,Seasonally adjusted,"Total, food services and drinking places",Receipts,302639000,472807000,2652815000,83963000,62451000,34763000,72188000,1007458000,16192000,522494000,71271000,9/23/2021 8:59:32 AM
41801,9/1/1998 12:00:00 AM,Unadjusted,Drinking places (alcoholic beverages),Receipts,21768000,66355000,224862000,1882000,4524000,4408000,7051000,55260000,1856000,56853000,4905000,9/23/2021 8:59:32 AM
41802,9/1/1998 12:00:00 AM,Unadjusted,Full-service restaurants,Receipts,149032000,238632000,1310753000,36769000,25511000,6604000,30612000,506749000,8712000,275816000,27542000,9/23/2021 8:59:32 AM
41803,9/1/1998 12:00:00 AM,Unadjusted,Limited-service eating places,Receipts,105393000,140810000,1025755000,43151000,34030000,22335000,36996000,445217000,7537000,152265000,36577000,9/23/2021 8:59:32 AM
41804,9/1/1998 12:00:00 AM,Unadjusted,Special food services,Receipts,17834000,39496000,237575000,5247000,9948000,2619000,10607000,86648000,1983000,58464000,4729000,9/23/2021 8:59:32 AM
41805,9/1/1998 12:00:00 AM,Seasonally adjusted,"Total, food services and drinking places",Receipts,302567000,466814000,2670830000,85067000,64219000,36843000,75985000,1026360000,16264000,518925000,71425000,9/23/2021 8:59:32 AM
41806,10/1/1998 12:00:00 AM,Unadjusted,Drinking places (alcoholic beverages),Receipts,28618000,71152000,250206000,2874000,4485000,5523000,8192000,66209000,2353000,55170000,5631000,9/23/2021 8:59:32 AM
41807,10/1/1998 12:00:00 AM,Unadjusted,Full-service restaurants,Receipts,156826000,224558000,1277271000,40615000,23926000,6484000,27228000,486821000,8079000,269030000,29029000,9/23/2021 8:59:32 AM
41808,10/1/1998 12:00:00 AM,Unadjusted,Limited-service eating places,Receipts,111458000,145126000,1039375000,43964000,36027000,22347000,37193000,447397000,6329000,150878000,37331000,9/23/2021 8:59:32 AM
41809,10/1/1998 12:00:00 AM,Unadjusted,Special food services,Receipts,16833000,38024000,255734000,5050000,8041000,3050000,12754000,95883000,2044000,68475000,5579000,9/23/2021 8:59:32 AM
41810,10/1/1998 12:00:00 AM,Seasonally adjusted,"Total, food services and drinking places",Receipts,304094000,469471000,2693724000,86944000,64612000,35635000,77816000,1029698000,16628000,529367000,73079000,9/23/2021 8:59:32 AM
41811,11/1/1998 12:00:00 AM,Unadjusted,Drinking places (alcoholic beverages),Receipts,29050000,52864000,220364000,2787000,3852000,4240000,6005000,62197000,1609000,53627000,4134000,9/23/2021 8:59:32 AM
41812,11/1/1998 12:00:00 AM,Unadjusted,Full-service restaurants,Receipts,141408000,204517000,1157799000,38767000,18202000,9108000,23169000,436410000,5554000,250849000,25540000,9/23/2021 8:59:32 AM
41813,11/1/1998 12:00:00 AM,Unadjusted,Limited-service eating places,Receipts,109619000,153282000,1015920000,40431000,33382000,25830000,36248000,433360000,6779000,139969000,35735000,9/23/2021 8:59:32 AM
41814,11/1/1998 12:00:00 AM,Unadjusted,Special food services,Receipts,19914000,40234000,240004000,7624000,9468000,3123000,10614000,85473000,785000,57201000,5568000,9/23/2021 8:59:32 AM
41815,11/1/1998 12:00:00 AM,Seasonally adjusted,"Total, food services and drinking places",Receipts,304488000,473462000,2705397000,88817000,65350000,38097000,78222000,1034066000,16450000,525897000,74072000,9/23/2021 8:59:32 AM
41816,12/1/1998 12:00:00 AM,Unadjusted,Drinking places (alcoholic beverages),Receipts,26783000,57861000,224994000,2523000,4560000,4679000,6087000,55798000,2021000,61475000,3208000,9/23/2021 8:59:32 AM
41817,12/1/1998 12:00:00 AM,Unadjusted,Full-service restaurants,Receipts,151824000,232467000,1215922000,42356000,22155000,9363000,24325000,437839000,4580000,257072000,29448000,9/23/2021 8:59:32 AM
41818,12/1/1998 12:00:00 AM,Unadjusted,Limited-service eating places,Receipts,114372000,162410000,1047676000,39158000,35515000,25026000,43207000,432467000,8599000,152363000,33369000,9/23/2021 8:59:32 AM
41819,12/1/1998 12:00:00 AM,Unadjusted,Special food services,Receipts,18925000,40696000,238855000,6683000,5270000,3024000,10068000,88356000,778000,58779000,6276000,9/23/2021 8:59:32 AM
41820,12/1/1998 12:00:00 AM,Seasonally adjusted,"Total, food services and drinking places",Receipts,307298000,474326000,2709758000,87299000,64690000,37852000,80423000,1030883000,16735000,529916000,73823000,9/23/2021 8:59:32 AM
41821,1/1/1999 12:00:00 AM,Unadjusted,Drinking places (alcoholic beverages),Receipts,24443000,51714000,193384000,1766000,3331000,4296000,5656000,48263000,1463000,50044000,2409000,9/23/2021 8:59:32 AM
41822,1/1/1999 12:00:00 AM,Unadjusted,Full-service restaurants,Receipts,133412000,181692000,1010164000,33590000,16755000,7805000,18206000,357963000,3238000,229483000,24665000,9/23/2021 8:59:32 AM
41823,1/1/1999 12:00:00 AM,Unadjusted,Limited-service eating places,Receipts,98603000,133357000,857222000,30072000,25697000,17663000,31639000,359671000,5590000,123121000,29694000,9/23/2021 8:59:32 AM
41824,1/1/1999 12:00:00 AM,Unadjusted,Special food services,Receipts,14508000,34701000,188290000,3108000,7507000,1975000,5675000,74812000,412000,42507000,3084000,9/23/2021 8:59:32 AM
41825,1/1/1999 12:00:00 AM,Seasonally adjusted,"Total, food services and drinking places",Receipts,293632000,464233000,2643428000,84140000,65053000,37142000,78260000,1005731000,16311000,521401000,70860000,9/23/2021 8:59:32 AM
41826,2/1/1999 12:00:00 AM,Unadjusted,Drinking places (alcoholic beverages),Receipts,21646000,57159000,205831000,1846000,3921000,3700000,6064000,56090000,1511000,50619000,3275000,9/23/2021 8:59:32 AM
41827,2/1/1999 12:00:00 AM,Unadjusted,Full-service restaurants,Receipts,131078000,184783000,1014878000,34107000,16481000,5730000,21541000,359319000,3361000,229853000,24900000,9/23/2021 8:59:32 AM
41828,2/1/1999 12:00:00 AM,Unadjusted,Limited-service eating places,Receipts,107376000,137447000,916603000,33625000,28975000,18141000,35409000,389618000,6281000,129537000,27986000,9/23/2021 8:59:32 AM
41829,2/1/1999 12:00:00 AM,Unadjusted,Special food services,Receipts,15637000,27515000,188027000,4481000,4211000,1659000,5596000,72526000,487000,52117000,3798000,9/23/2021 8:59:32 AM
41830,2/1/1999 12:00:00 AM,Seasonally adjusted,"Total, food services and drinking places",Receipts,303459000,476159000,2741837000,87024000,64137000,37670000,80362000,1048184000,16472000,547511000,74145000,9/23/2021 8:59:32 AM
41831,3/1/1999 12:00:00 AM,Unadjusted,Drinking places (alcoholic beverages),Receipts,18872000,68884000,218768000,2239000,4192000,6262000,5580000,61732000,1363000,43534000,6110000,9/23/2021 8:59:32 AM
41832,3/1/1999 12:00:00 AM,Unadjusted,Full-service restaurants,Receipts,148872000,223094000,1151930000,38948000,19887000,6769000,22542000,397655000,5065000,256470000,27720000,9/23/2021 8:59:32 AM
41833,3/1/1999 12:00:00 AM,Unadjusted,Limited-service eating places,Receipts,119186000,147946000,1037861000,38922000,35149000,18386000,43455000,449717000,6035000,140432000,35918000,9/23/2021 8:59:32 AM
41834,3/1/1999 12:00:00 AM,Unadjusted,Special food services,Receipts,20257000,35169000,228224000,4631000,6191000,1806000,7667000,81263000,354000,66503000,4382000,9/23/2021 8:59:32 AM
41835,3/1/1999 12:00:00 AM,Seasonally adjusted,"Total, food services and drinking places",Receipts,304826000,481487000,2748005000,85974000,63776000,37626000,79297000,1052352000,16224000,545813000,73219000,9/23/2021 8:59:32 AM
41836,4/1/1999 12:00:00 AM,Unadjusted,Drinking places (alcoholic beverages),Receipts,27629000,71058000,244038000,2526000,4662000,6367000,6085000,60304000,1810000,58718000,4880000,9/23/2021 8:59:32 AM
41837,4/1/1999 12:00:00 AM,Unadjusted,Full-service restaurants,Receipts,146234000,221723000,1219314000,39416000,18831000,6876000,22048000,439949000,4697000,283827000,30925000,9/23/2021 8:59:32 AM
41838,4/1/1999 12:00:00 AM,Unadjusted,Limited-service eating places,Receipts,120846000,144257000,1057113000,42688000,32983000,19669000,37847000,450622000,5849000,161687000,37887000,9/23/2021 8:59:32 AM
41839,4/1/1999 12:00:00 AM,Unadjusted,Special food services,Receipts,18119000,38065000,231001000,5202000,6132000,3301000,6755000,87602000,268000,60600000,4956000,9/23/2021 8:59:32 AM
41840,4/1/1999 12:00:00 AM,Seasonally adjusted,"Total, food services and drinking places",Receipts,308226000,484997000,2779384000,87948000,65255000,36347000,78586000,1063886000,16075000,555170000,75130000,9/23/2021 8:59:32 AM
41841,5/1/1999 12:00:00 AM,Unadjusted,Drinking places (alcoholic beverages),Receipts,27184000,62904000,226880000,2738000,4696000,5406000,5845000,59061000,1456000,52422000,5169000,9/23/2021 8:59:32 AM
41842,5/1/1999 12:00:00 AM,Unadjusted,Full-service restaurants,Receipts,154654000,237771000,1318724000,41438000,16869000,8535000,24378000,488984000,5991000,305507000,30176000,9/23/2021 8:59:32 AM
41843,5/1/1999 12:00:00 AM,Unadjusted,Limited-service eating places,Receipts,125238000,145779000,1108335000,42507000,35002000,19421000,40045000,477523000,7075000,174956000,37787000,9/23/2021 8:59:32 AM
41844,5/1/1999 12:00:00 AM,Unadjusted,Special food services,Receipts,14872000,42829000,231130000,4974000,5124000,2354000,8012000,88871000,600000,58463000,5033000,9/23/2021 8:59:32 AM
41845,5/1/1999 12:00:00 AM,Seasonally adjusted,"Total, food services and drinking places",Receipts,309326000,484601000,2781133000,89458000,65934000,36498000,79611000,1062817000,16110000,554367000,75323000,9/23/2021 8:59:32 AM
41846,6/1/1999 12:00:00 AM,Unadjusted,Drinking places (alcoholic beverages),Receipts,23450000,57933000,209010000,2478000,4416000,5962000,5345000,56886000,1417000,47236000,3887000,9/23/2021 8:59:32 AM
41847,6/1/1999 12:00:00 AM,Unadjusted,Full-service restaurants,Receipts,139832000,243012000,1311764000,43088000,18009000,7066000,25256000,495193000,6880000,299164000,29278000,9/23/2021 8:59:32 AM
41848,6/1/1999 12:00:00 AM,Unadjusted,Limited-service eating places,Receipts,126131000,150026000,1116268000,46079000,36438000,21913000,40865000,471843000,5848000,174496000,39345000,9/23/2021 8:59:32 AM
41849,6/1/1999 12:00:00 AM,Unadjusted,Special food services,Receipts,15689000,42496000,237625000,3085000,3486000,2812000,8183000,95238000,439000,60814000,5383000,9/23/2021 8:59:32 AM
41850,6/1/1999 12:00:00 AM,Seasonally adjusted,"Total, food services and drinking places",Receipts,309892000,480868000,2775375000,89491000,65624000,36208000,78735000,1065462000,16567000,550459000,74837000,9/23/2021 8:59:32 AM
41851,7/1/1999 12:00:00 AM,Unadjusted,Drinking places (alcoholic beverages),Receipts,22600000,64346000,227025000,2799000,5100000,6543000,7375000,54290000,2210000,55831000,5932000,9/23/2021 8:59:32 AM
41852,7/1/1999 12:00:00 AM,Unadjusted,Full-service restaurants,Receipts,157938000,260375000,1437408000,40461000,21423000,8370000,32464000,535552000,11267000,333717000,30310000,9/23/2021 8:59:32 AM
41853,7/1/1999 12:00:00 AM,Unadjusted,Limited-service eating places,Receipts,135227000,170509000,1213130000,50213000,40329000,24563000,41398000,506504000,9983000,189380000,41629000,9/23/2021 8:59:32 AM
41854,7/1/1999 12:00:00 AM,Unadjusted,Special food services,Receipts,15024000,43606000,196910000,4402000,3903000,2077000,5527000,74598000,266000,43575000,3934000,9/23/2021 8:59:32 AM
41855,7/1/1999 12:00:00 AM,Seasonally adjusted,"Total, food services and drinking places",Receipts,309439000,479348000,2752806000,90822000,65862000,35837000,78245000,1047160000,16058000,548480000,74651000,9/23/2021 8:59:32 AM
41856,8/1/1999 12:00:00 AM,Unadjusted,Drinking places (alcoholic beverages),Receipts,23056000,63841000,224980000,2254000,5530000,6023000,6541000,58585000,2169000,52054000,4927000,9/23/2021 8:59:32 AM
41857,8/1/1999 12:00:00 AM,Unadjusted,Full-service restaurants,Receipts,166471000,268462000,1496859000,41476000,24750000,8415000,34386000,576616000,14544000,322266000,34445000,9/23/2021 8:59:32 AM
41858,8/1/1999 12:00:00 AM,Unadjusted,Limited-service eating places,Receipts,124715000,158729000,1123924000,43867000,39046000,22258000,41886000,475099000,8870000,167988000,38337000,9/23/2021 8:59:32 AM
41859,8/1/1999 12:00:00 AM,Unadjusted,Special food services,Receipts,15911000,44950000,207275000,6081000,3403000,1984000,6600000,73141000,491000,50818000,3895000,9/23/2021 8:59:32 AM
