Id,When,Vehicle,Alberta,BritishColumbia,Canada,Manitoba,NewBrunswick,NewfoundlandAndLabrador,NovaScotia,Ontario,PrinceEdwardIsland,Quebec,Saskatchewan,ModifiedDate
414376,1/1/1946 12:00:00 AM,Passenger cars,0,0,1102,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414377,1/1/1946 12:00:00 AM,"Total, new motor vehicles",0,0,2756,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414378,1/1/1946 12:00:00 AM,Trucks,0,0,1654,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414379,2/1/1946 12:00:00 AM,Passenger cars,0,0,1609,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414380,2/1/1946 12:00:00 AM,"Total, new motor vehicles",0,0,3763,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414381,2/1/1946 12:00:00 AM,Trucks,0,0,2154,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414382,3/1/1946 12:00:00 AM,Passenger cars,0,0,4734,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414383,3/1/1946 12:00:00 AM,"Total, new motor vehicles",0,0,7200,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414384,3/1/1946 12:00:00 AM,Trucks,0,0,2466,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414385,4/1/1946 12:00:00 AM,Passenger cars,0,0,5947,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414386,4/1/1946 12:00:00 AM,"Total, new motor vehicles",0,0,9645,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414387,4/1/1946 12:00:00 AM,Trucks,0,0,3698,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414388,5/1/1946 12:00:00 AM,Passenger cars,0,0,7919,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414389,5/1/1946 12:00:00 AM,"Total, new motor vehicles",0,0,12032,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414390,5/1/1946 12:00:00 AM,Trucks,0,0,4113,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414391,6/1/1946 12:00:00 AM,Passenger cars,0,0,8759,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414392,6/1/1946 12:00:00 AM,"Total, new motor vehicles",0,0,13388,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414393,6/1/1946 12:00:00 AM,Trucks,0,0,4629,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414394,7/1/1946 12:00:00 AM,Passenger cars,0,0,8451,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414395,7/1/1946 12:00:00 AM,"Total, new motor vehicles",0,0,13705,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414396,7/1/1946 12:00:00 AM,Trucks,0,0,5254,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414397,8/1/1946 12:00:00 AM,Passenger cars,0,0,6121,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
