Id,When,Type,Unit,Alberta,ModifiedDate
172001,4/1/1983 12:00:00 AM,WTI,$US/bbl,30.5,9/23/2021 3:36:40 PM
172002,5/1/1983 12:00:00 AM,WTI,$US/bbl,30.16,9/23/2021 3:36:40 PM
172003,6/1/1983 12:00:00 AM,WTI,$US/bbl,30.96,9/23/2021 3:36:40 PM
172004,7/1/1983 12:00:00 AM,WTI,$US/bbl,31.59,9/23/2021 3:36:40 PM
172005,8/1/1983 12:00:00 AM,WTI,$US/bbl,31.88,9/23/2021 3:36:40 PM
172006,9/1/1983 12:00:00 AM,WTI,$US/bbl,31.24,9/23/2021 3:36:40 PM
172007,10/1/1983 12:00:00 AM,WTI,$US/bbl,30.4,9/23/2021 3:36:40 PM
172008,11/1/1983 12:00:00 AM,WTI,$US/bbl,29.86,9/23/2021 3:36:40 PM
172009,12/1/1983 12:00:00 AM,WTI,$US/bbl,29.24,9/23/2021 3:36:40 PM
172010,1/1/1984 12:00:00 AM,WTI,$US/bbl,29.65,9/23/2021 3:36:40 PM
172011,2/1/1984 12:00:00 AM,WTI,$US/bbl,30.05,9/23/2021 3:36:40 PM
172012,3/1/1984 12:00:00 AM,WTI,$US/bbl,30.72,9/23/2021 3:36:40 PM
172013,4/1/1984 12:00:00 AM,WTI,$US/bbl,30.65,9/23/2021 3:36:40 PM
172014,5/1/1984 12:00:00 AM,WTI,$US/bbl,30.55,9/23/2021 3:36:40 PM
172015,6/1/1984 12:00:00 AM,WTI,$US/bbl,29.98,9/23/2021 3:36:40 PM
172016,7/1/1984 12:00:00 AM,WTI,$US/bbl,28.74,9/23/2021 3:36:40 PM
172017,8/1/1984 12:00:00 AM,WTI,$US/bbl,29.33,9/23/2021 3:36:40 PM
172018,9/1/1984 12:00:00 AM,WTI,$US/bbl,29.38,9/23/2021 3:36:40 PM
172019,10/1/1984 12:00:00 AM,WTI,$US/bbl,28.8,9/23/2021 3:36:40 PM
172020,11/1/1984 12:00:00 AM,WTI,$US/bbl,28.11,9/23/2021 3:36:40 PM
172021,12/1/1984 12:00:00 AM,WTI,$US/bbl,26.91,9/23/2021 3:36:40 PM
172022,1/1/1985 12:00:00 AM,WTI,$US/bbl,25.64,9/23/2021 3:36:40 PM
172023,2/1/1985 12:00:00 AM,WTI,$US/bbl,27.14,9/23/2021 3:36:40 PM
172024,3/1/1985 12:00:00 AM,WTI,$US/bbl,28.12,9/23/2021 3:36:40 PM
172025,4/1/1985 12:00:00 AM,WTI,$US/bbl,28.71,9/23/2021 3:36:40 PM
172026,5/1/1985 12:00:00 AM,WTI,$US/bbl,27.58,9/23/2021 3:36:40 PM
172027,6/1/1985 12:00:00 AM,WTI,$US/bbl,27.09,9/23/2021 3:36:40 PM
172028,7/1/1985 12:00:00 AM,WTI,$US/bbl,27.27,9/23/2021 3:36:40 PM
172029,8/1/1985 12:00:00 AM,WTI,$US/bbl,27.74,9/23/2021 3:36:40 PM
172030,9/1/1985 12:00:00 AM,WTI,$US/bbl,28.22,9/23/2021 3:36:40 PM
172031,10/1/1985 12:00:00 AM,WTI,$US/bbl,29.48,9/23/2021 3:36:40 PM
172032,11/1/1985 12:00:00 AM,WTI,$US/bbl,30.73,9/23/2021 3:36:40 PM
172033,12/1/1985 12:00:00 AM,WTI,$US/bbl,27.15,9/23/2021 3:36:40 PM
172034,1/1/1986 12:00:00 AM,WTI,$US/bbl,22.98,9/23/2021 3:36:40 PM
172035,2/1/1986 12:00:00 AM,WTI,$US/bbl,15.46,9/23/2021 3:36:40 PM
172036,3/1/1986 12:00:00 AM,WTI,$US/bbl,12.62,9/23/2021 3:36:40 PM
172037,4/1/1986 12:00:00 AM,WTI,$US/bbl,12.75,9/23/2021 3:36:40 PM
172038,5/1/1986 12:00:00 AM,WTI,$US/bbl,15.26,9/23/2021 3:36:40 PM
172039,6/1/1986 12:00:00 AM,WTI,$US/bbl,13.38,9/23/2021 3:36:40 PM
