ID,When,Commodity,WellType,Alberta,ModifiedDate
347691,04-01-2019 12:00:00 AM,All Commodities,All Well Types,157,09-24-2021 02:50:43 PM
347692,05-01-2019 12:00:00 AM,All Commodities,All Well Types,176,09-24-2021 02:50:43 PM
347693,06-01-2019 12:00:00 AM,All Commodities,All Well Types,278,09-24-2021 02:50:43 PM
347694,07-01-2019 12:00:00 AM,All Commodities,All Well Types,342,09-24-2021 02:50:43 PM
347695,08-01-2019 12:00:00 AM,All Commodities,All Well Types,394,09-24-2021 02:50:43 PM
347696,09-01-2019 12:00:00 AM,All Commodities,All Well Types,371,09-24-2021 02:50:43 PM
347697,10-01-2019 12:00:00 AM,All Commodities,All Well Types,415,09-24-2021 02:50:43 PM
347698,11-01-2019 12:00:00 AM,All Commodities,All Well Types,364,09-24-2021 02:50:43 PM
347699,12-01-2019 12:00:00 AM,All Commodities,All Well Types,272,09-24-2021 02:50:43 PM
347700,01-01-2020 12:00:00 AM,All Commodities,All Well Types,503,09-24-2021 02:50:43 PM
347701,02-01-2020 12:00:00 AM,All Commodities,All Well Types,545,09-24-2021 02:50:43 PM
347702,03-01-2020 12:00:00 AM,All Commodities,All Well Types,276,09-24-2021 02:50:43 PM
347703,04-01-2020 12:00:00 AM,All Commodities,All Well Types,38,09-24-2021 02:50:43 PM
347704,05-01-2020 12:00:00 AM,All Commodities,All Well Types,38,09-24-2021 02:50:43 PM
347705,06-01-2020 12:00:00 AM,All Commodities,All Well Types,18,09-24-2021 02:50:43 PM
347706,07-01-2020 12:00:00 AM,All Commodities,All Well Types,48,09-24-2021 02:50:43 PM
347707,08-01-2020 12:00:00 AM,All Commodities,All Well Types,81,09-24-2021 02:50:43 PM
347708,09-01-2020 12:00:00 AM,All Commodities,All Well Types,109,09-24-2021 02:50:43 PM
347709,10-01-2020 12:00:00 AM,All Commodities,All Well Types,202,09-24-2021 02:50:43 PM
347710,11-01-2020 12:00:00 AM,All Commodities,All Well Types,242,09-24-2021 02:50:43 PM
347711,12-01-2020 12:00:00 AM,All Commodities,All Well Types,238,09-24-2021 02:50:43 PM
347712,01-01-2021 12:00:00 AM,All Commodities,All Well Types,484,09-24-2021 02:50:43 PM
347713,02-01-2021 12:00:00 AM,All Commodities,All Well Types,454,09-24-2021 02:50:43 PM
347714,03-01-2021 12:00:00 AM,All Commodities,All Well Types,345,09-24-2021 02:50:43 PM
347715,04-01-2021 12:00:00 AM,All Commodities,All Well Types,160,09-24-2021 02:50:43 PM
347716,05-01-2021 12:00:00 AM,All Commodities,All Well Types,173,09-24-2021 02:50:43 PM
347717,06-01-2021 12:00:00 AM,All Commodities,All Well Types,351,09-24-2021 02:50:43 PM
345396,01-01-2000 12:00:00 AM,Oil,Development,110,09-24-2021 02:50:43 PM
345397,01-01-2000 12:00:00 AM,Gas,Development,594,09-24-2021 02:50:43 PM
345398,01-01-2000 12:00:00 AM,Other,Exploratory,0,09-24-2021 02:50:43 PM
345399,01-01-2000 12:00:00 AM,Other,Development,9,09-24-2021 02:50:43 PM
345400,01-01-2000 12:00:00 AM,Oil,Exploratory,43,09-24-2021 02:50:43 PM
345401,01-01-2000 12:00:00 AM,Gas,Exploratory,307,09-24-2021 02:50:43 PM
345402,01-01-2000 12:00:00 AM,Bitumen,Exploratory,0,09-24-2021 02:50:43 PM
345403,01-01-2000 12:00:00 AM,Bitumen,Development,78,09-24-2021 02:50:43 PM
