Province/territory,Region,"30-day readmission for mood disorders, risk-adjusted rate (per 100), 2018–2019","95% confidence interval,
2018–2019"
Newfoundland and Labrador,Eastern Health,9.4,(6.2–13.6)
Newfoundland and Labrador,Central Health,8,(4.3–13.7)
Newfoundland and Labrador,Western Health,10.6,(7.2–15.2)
Newfoundland and Labrador,Labrador–Grenfell Health,13.6,(7.7–22.0)
Newfoundland and Labrador,Total,10.1,(8.1–12.5)
Prince Edward Island,Health PEI,10.9,(7.6–15.2)
Prince Edward Island,Total,10.9,(7.6–15.2)
Nova Scotia,Western Zone,12.1,(7.0–19.4)
Nova Scotia,Northern Zone,9.6,(4.6–17.6)
Nova Scotia,Eastern Zone,12.7,(9.0–17.5)
Nova Scotia,Central Zone,8.6,(5.0–13.8)
Nova Scotia,Total,10.9,(8.6–13.5)
New Brunswick,Zone 1 (Moncton Area),9.5,(6.5–13.4)
New Brunswick,Zone 2 (Saint John Area),7.5,(3.4–14.3)
New Brunswick,Zone 3 (Fredericton Area),8.6,(5.6–12.6)
New Brunswick,Zone 4 (Edmundston Area),8.8,(4.9–14.5)
New Brunswick,Zone 5 (Campbellton Area),9.8,(4.7–18.0)
New Brunswick,Zone 6 (Bathurst Area),11.9,(7.3–18.1)
New Brunswick,Zone 7 (Miramichi Area),5.1,(1.4–13.1)
New Brunswick,Total,9.1,(7.5–10.8)*
Quebec,Bas-Saint-Laurent Region,11.6,(8.0–16.3)
Quebec,Saguenay–Lac-Saint-Jean Region,13.8,(10.0–18.7)
Quebec,Capitale-Nationale Region,9.5,(7.4–12.0)
Quebec,Mauricie et Centre-du-Québec Region,12.1,(9.7–15.0)
Quebec,Estrie Region,19.7,(16.2–23.6)*
Quebec,Montréal Region,13.2,(11.5–15.0)*
Quebec,Outaouais Region,10.1,(7.4–13.3)
Quebec,Abitibi-Témiscamingue Region,11.7,(7.7–17.1)
Quebec,Côte-Nord Region,9,(4.1–17.2)
Quebec,Nord-du-Québec Region,—,—
Quebec,Gaspésie–Îles-de-la-Madeleine Region,15.4,(9.6–23.6)
Quebec,Chaudière-Appalaches Region,7.5,(5.1–10.6)*
Quebec,Laval Region,14,(10.0–19.1)
Quebec,Lanaudière Region,10.4,(7.5–14.0)
Quebec,Laurentides Region,8.2,(5.9–11.1)
Quebec,Montérégie Region,10.9,(9.1–13.0)
