REF_DATE,GEO,DGUID,Age group,Sex,Indicators,Characteristics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2015,Alberta,2016A000248,12 to 17 years,Males,"Perceived health, very good or excellent",Number of persons,Number,223,units,0,v110817755,10.2.2.1.1,104100,,,,0
2016,Alberta,2016A000248,12 to 17 years,Males,"Perceived health, very good or excellent",Number of persons,Number,223,units,0,v110817755,10.2.2.1.1,106300,,,,0
2017,Alberta,2016A000248,12 to 17 years,Males,"Perceived health, very good or excellent",Number of persons,Number,223,units,0,v110817755,10.2.2.1.1,109900,,,,0
2018,Alberta,2016A000248,12 to 17 years,Males,"Perceived health, very good or excellent",Number of persons,Number,223,units,0,v110817755,10.2.2.1.1,108500,,,,0
2019,Alberta,2016A000248,12 to 17 years,Males,"Perceived health, very good or excellent",Number of persons,Number,223,units,0,v110817755,10.2.2.1.1,111800,,,,0
2020,Alberta,2016A000248,12 to 17 years,Males,"Perceived health, very good or excellent",Number of persons,Number,223,units,0,v110817755,10.2.2.1.1,119500,,,,0
2015,Alberta,2016A000248,12 to 17 years,Males,"Perceived health, fair or poor",Number of persons,Number,223,units,0,v110817762,10.2.2.2.1,5800,E,,,0
2016,Alberta,2016A000248,12 to 17 years,Males,"Perceived health, fair or poor",Number of persons,Number,223,units,0,v110817762,10.2.2.2.1,12600,E,,,0
2017,Alberta,2016A000248,12 to 17 years,Males,"Perceived health, fair or poor",Number of persons,Number,223,units,0,v110817762,10.2.2.2.1,,F,,,0
2018,Alberta,2016A000248,12 to 17 years,Males,"Perceived health, fair or poor",Number of persons,Number,223,units,0,v110817762,10.2.2.2.1,,F,,,0
2019,Alberta,2016A000248,12 to 17 years,Males,"Perceived health, fair or poor",Number of persons,Number,223,units,0,v110817762,10.2.2.2.1,,F,,,0
2020,Alberta,2016A000248,12 to 17 years,Males,"Perceived health, fair or poor",Number of persons,Number,223,units,0,v110817762,10.2.2.2.1,,F,,,0
2015,Alberta,2016A000248,12 to 17 years,Males,"Perceived mental health, very good or excellent",Number of persons,Number,223,units,0,v110817769,10.2.2.3.1,108900,,,,0
2016,Alberta,2016A000248,12 to 17 years,Males,"Perceived mental health, very good or excellent",Number of persons,Number,223,units,0,v110817769,10.2.2.3.1,103000,,,,0
2017,Alberta,2016A000248,12 to 17 years,Males,"Perceived mental health, very good or excellent",Number of persons,Number,223,units,0,v110817769,10.2.2.3.1,109100,,,,0
2018,Alberta,2016A000248,12 to 17 years,Males,"Perceived mental health, very good or excellent",Number of persons,Number,223,units,0,v110817769,10.2.2.3.1,113800,,,,0
2019,Alberta,2016A000248,12 to 17 years,Males,"Perceived mental health, very good or excellent",Number of persons,Number,223,units,0,v110817769,10.2.2.3.1,111200,,,,0
2020,Alberta,2016A000248,12 to 17 years,Males,"Perceived mental health, very good or excellent",Number of persons,Number,223,units,0,v110817769,10.2.2.3.1,116100,,,,0
2015,Alberta,2016A000248,12 to 17 years,Males,"Perceived mental health, fair or poor",Number of persons,Number,223,units,0,v110817776,10.2.2.4.1,,F,,,0
2016,Alberta,2016A000248,12 to 17 years,Males,"Perceived mental health, fair or poor",Number of persons,Number,223,units,0,v110817776,10.2.2.4.1,,F,,,0
2017,Alberta,2016A000248,12 to 17 years,Males,"Perceived mental health, fair or poor",Number of persons,Number,223,units,0,v110817776,10.2.2.4.1,,F,,,0
2018,Alberta,2016A000248,12 to 17 years,Males,"Perceived mental health, fair or poor",Number of persons,Number,223,units,0,v110817776,10.2.2.4.1,8400,E,,,0
2019,Alberta,2016A000248,12 to 17 years,Males,"Perceived mental health, fair or poor",Number of persons,Number,223,units,0,v110817776,10.2.2.4.1,,F,,,0
2020,Alberta,2016A000248,12 to 17 years,Males,"Perceived mental health, fair or poor",Number of persons,Number,223,units,0,v110817776,10.2.2.4.1,,F,,,0
2015,Alberta,2016A000248,12 to 17 years,Males,"Perceived life stress, most days quite a bit or extremely stressful",Number of persons,Number,223,units,0,v110817783,10.2.2.5.1,11100,E,,,0
