REF_DATE,GEO,DGUID,Age group,Sex,Indicators,Characteristics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2015,Alberta,2016A000248,12 to 17 years,Males,"Perceived health, very good or excellent",Number of persons,Number,223,units,0,v110817755,10.2.2.1.1,104100,,,,0
2016,Alberta,2016A000248,12 to 17 years,Males,"Perceived health, very good or excellent",Number of persons,Number,223,units,0,v110817755,10.2.2.1.1,106300,,,,0
2017,Alberta,2016A000248,12 to 17 years,Males,"Perceived health, very good or excellent",Number of persons,Number,223,units,0,v110817755,10.2.2.1.1,109900,,,,0
2018,Alberta,2016A000248,12 to 17 years,Males,"Perceived health, very good or excellent",Number of persons,Number,223,units,0,v110817755,10.2.2.1.1,108500,,,,0
2019,Alberta,2016A000248,12 to 17 years,Males,"Perceived health, very good or excellent",Number of persons,Number,223,units,0,v110817755,10.2.2.1.1,111800,,,,0
2020,Alberta,2016A000248,12 to 17 years,Males,"Perceived health, very good or excellent",Number of persons,Number,223,units,0,v110817755,10.2.2.1.1,119500,,,,0
2015,Alberta,2016A000248,12 to 17 years,Males,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110817758,10.2.2.1.4,75.1,,,,1
2016,Alberta,2016A000248,12 to 17 years,Males,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110817758,10.2.2.1.4,75.9,,,,1
2017,Alberta,2016A000248,12 to 17 years,Males,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110817758,10.2.2.1.4,77.8,,,,1
2018,Alberta,2016A000248,12 to 17 years,Males,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110817758,10.2.2.1.4,75.4,,,,1
2019,Alberta,2016A000248,12 to 17 years,Males,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110817758,10.2.2.1.4,75.8,,,,1
2020,Alberta,2016A000248,12 to 17 years,Males,"Perceived health, very good or excellent",Percent,Percent,239,units,0,v110817758,10.2.2.1.4,76.4,,,,1
2015,Alberta,2016A000248,12 to 17 years,Males,"Perceived health, fair or poor",Number of persons,Number,223,units,0,v110817762,10.2.2.2.1,5800,E,,,0
2016,Alberta,2016A000248,12 to 17 years,Males,"Perceived health, fair or poor",Number of persons,Number,223,units,0,v110817762,10.2.2.2.1,12600,E,,,0
2017,Alberta,2016A000248,12 to 17 years,Males,"Perceived health, fair or poor",Number of persons,Number,223,units,0,v110817762,10.2.2.2.1,,F,,,0
2018,Alberta,2016A000248,12 to 17 years,Males,"Perceived health, fair or poor",Number of persons,Number,223,units,0,v110817762,10.2.2.2.1,,F,,,0
2019,Alberta,2016A000248,12 to 17 years,Males,"Perceived health, fair or poor",Number of persons,Number,223,units,0,v110817762,10.2.2.2.1,,F,,,0
2020,Alberta,2016A000248,12 to 17 years,Males,"Perceived health, fair or poor",Number of persons,Number,223,units,0,v110817762,10.2.2.2.1,,F,,,0
2015,Alberta,2016A000248,12 to 17 years,Males,"Perceived health, fair or poor",Percent,Percent,239,units,0,v110817765,10.2.2.2.4,4.2,E,,,1
2016,Alberta,2016A000248,12 to 17 years,Males,"Perceived health, fair or poor",Percent,Percent,239,units,0,v110817765,10.2.2.2.4,9,E,,,1
2017,Alberta,2016A000248,12 to 17 years,Males,"Perceived health, fair or poor",Percent,Percent,239,units,0,v110817765,10.2.2.2.4,,F,,,1
2018,Alberta,2016A000248,12 to 17 years,Males,"Perceived health, fair or poor",Percent,Percent,239,units,0,v110817765,10.2.2.2.4,,F,,,1
2019,Alberta,2016A000248,12 to 17 years,Males,"Perceived health, fair or poor",Percent,Percent,239,units,0,v110817765,10.2.2.2.4,,F,,,1
2020,Alberta,2016A000248,12 to 17 years,Males,"Perceived health, fair or poor",Percent,Percent,239,units,0,v110817765,10.2.2.2.4,,F,,,1
2015,Alberta,2016A000248,12 to 17 years,Males,"Perceived mental health, very good or excellent",Number of persons,Number,223,units,0,v110817769,10.2.2.3.1,108900,,,,0
